Zscore	area	pvalue1sides	pvalue2sides
3.295	0.999507892	0.000492108	0.000984217
3.296	0.99950964	0.00049036	0.00098072
3.297	0.999511382	0.000488618	0.000977235
3.298	0.999513119	0.000486881	0.000973761
3.299	0.99951485	0.00048515	0.000970299
3.300	0.999516576	0.000483424	0.000966848
3.301	0.999518296	0.000481704	0.000963409
3.302	0.99952001	0.00047999	0.000959981
3.303	0.999521718	0.000478282	0.000956564
3.304	0.999523421	0.000476579	0.000953158
3.305	0.999525118	0.000474882	0.000949764
3.306	0.99952681	0.00047319	0.000946381
3.307	0.999528496	0.000471504	0.000943009
3.308	0.999530176	0.000469824	0.000939648
3.309	0.999531851	0.000468149	0.000936298
3.310	0.99953352	0.00046648	0.00093296
3.311	0.999535184	0.000464816	0.000929632
3.312	0.999536842	0.000463158	0.000926315
3.313	0.999538495	0.000461505	0.00092301
3.314	0.999540142	0.000459858	0.000919715
3.315	0.999541784	0.000458216	0.000916431
3.316	0.999543421	0.000456579	0.000913158
3.317	0.999545052	0.000454948	0.000909896
3.318	0.999546678	0.000453322	0.000906645
3.319	0.999548298	0.000451702	0.000903404
3.320	0.999549913	0.000450087	0.000900174
3.321	0.999551522	0.000448478	0.000896955
3.322	0.999553127	0.000446873	0.000893747
3.323	0.999554725	0.000445275	0.000890549
3.324	0.999556319	0.000443681	0.000887362
3.325	0.999557907	0.000442093	0.000884185
3.326	0.99955949	0.00044051	0.000881019
3.327	0.999561068	0.000438932	0.000877864
3.328	0.999562641	0.000437359	0.000874719
3.329	0.999564208	0.000435792	0.000871584
3.330	0.99956577	0.00043423	0.00086846
3.331	0.999567327	0.000432673	0.000865346
3.332	0.999568879	0.000431121	0.000862243
3.333	0.999570425	0.000429575	0.000859149
